code_iris,revenu_median,taux_pauvrete,code_arrondissement,annee
751176604,54550.0,9.0,75117,2021
751176605,62230.0,9.0,75117,2021
751176606,69150.0,9.0,75117,2021
751176607,61660.0,11.0,75117,2021
751176608,71370.0,9.0,75117,2021
751176609,59060.0,8.0,75117,2021
751176610,59260.0,7.0,75117,2021
751176611,57320.0,7.0,75117,2021
751176612,56810.0,9.0,75117,2021
751176613,48840.0,9.0,75117,2021
751176614,24760.0,25.0,75117,2021
751176615,15850.0,44.0,75117,2021
751176616,15180.0,45.0,75117,2021
751176701,39540.0,15.0,75117,2021
751176702,43680.0,12.0,75117,2021
751176703,38330.0,17.0,75117,2021
751176704,42620.0,8.0,75117,2021
751176705,44680.0,9.0,75117,2021
751176706,45770.0,8.0,75117,2021
751176707,45270.0,9.0,75117,2021
751176708,40690.0,16.0,75117,2021
751176709,39730.0,14.0,75117,2021
751176710,43150.0,12.0,75117,2021
751176711,39750.0,11.0,75117,2021
751176712,46780.0,11.0,75117,2021
751176713,44640.0,7.0,75117,2021
751176714,20900.0,36.0,75117,2021
751176715,48590.0,10.0,75117,2021
751176716,35980.0,19.0,75117,2021
751176801,35370.0,17.0,75117,2021
751176802,40800.0,13.0,75117,2021
751176803,37900.0,15.0,75117,2021
751176804,36670.0,12.0,75117,2021
751176805,31610.0,19.0,75117,2021
751176806,25910.0,25.0,75117,2021
751176807,32900.0,19.0,75117,2021
751176808,32270.0,18.0,75117,2021
751176809,27120.0,24.0,75117,2021
751176810,36430.0,14.0,75117,2021
751176811,29950.0,20.0,75117,2021
751176812,24980.0,30.0,75117,2021
751176813,20720.0,33.0,75117,2021
751176814,18930.0,35.0,75117,2021
751176815,21550.0,29.0,75117,2021
751176816,13670.0,50.0,75117,2021
751176817,14580.0,47.0,75117,2021
751186901,32200.0,18.0,75118,2021
751186902,29590.0,23.0,75118,2021
751186903,35750.0,17.0,75118,2021
751186904,38970.0,16.0,75118,2021
751186905,33340.0,19.0,75118,2021
751186906,33090.0,17.0,75118,2021
751186907,34840.0,15.0,75118,2021
751186908,36020.0,14.0,75118,2021
751186909,34100.0,17.0,75118,2021
751186910,43830.0,10.0,75118,2021
751186911,51150.0,7.0,75118,2021
751186912,38040.0,11.0,75118,2021
751186913,36740.0,13.0,75118,2021
751186914,34920.0,11.0,75118,2021
751186915,30510.0,21.0,75118,2021
751186916,26160.0,25.0,75118,2021
751186917,35980.0,15.0,75118,2021
751186918,34610.0,14.0,75118,2021
751186919,32830.0,17.0,75118,2021
751186920,26010.0,24.0,75118,2021
751186921,26660.0,27.0,75118,2021
751186922,35780.0,14.0,75118,2021
751186923,24160.0,27.0,75118,2021
751186924,22670.0,28.0,75118,2021
751186925,16630.0,43.0,75118,2021
751186926,13460.0,51.0,75118,2021
751186927,12650.0,55.0,75118,2021
751186928,12670.0,55.0,75118,2021
751187001,30190.0,21.0,75118,2021
751187002,34060.0,17.0,75118,2021
751187003,34230.0,16.0,75118,2021
751187004,35170.0,15.0,75118,2021
751187005,33510.0,16.0,75118,2021
751187006,33520.0,17.0,75118,2021
751187007,26910.0,25.0,75118,2021
751187008,43750.0,9.0,75118,2021
751187009,34190.0,17.0,75118,2021
751187010,31340.0,19.0,75118,2021
751187011,34760.0,17.0,75118,2021
751187012,37420.0,12.0,75118,2021
751187013,37120.0,12.0,75118,2021
751187014,28460.0,21.0,75118,2021
751187015,33180.0,12.0,75118,2021
751187016,30690.0,21.0,75118,2021
751187017,23200.0,33.0,75118,2021
751187018,20900.0,35.0,75118,2021
751187019,25530.0,25.0,75118,2021
751187020,27210.0,26.0,75118,2021
751187021,31700.0,25.0,75118,2021
751187022,32660.0,15.0,75118,2021
751187023,16100.0,43.0,75118,2021
751187024,29000.0,19.0,75118,2021
751187025,28790.0,22.0,75118,2021
751187026,23630.0,28.0,75118,2021
751187101,23740.0,31.0,75118,2021
751187102,14620.0,47.0,75118,2021
751187103,14500.0,47.0,75118,2021
751187104,20120.0,33.0,75118,2021
751187105,18380.0,37.0,75118,2021
751187106,17670.0,39.0,75118,2021
751187107,21330.0,35.0,75118,2021
751187108,18420.0,41.0,75118,2021
751187109,18350.0,39.0,75118,2021
751187110,17020.0,40.0,75118,2021
751187201,15850.0,44.0,75118,2021
751187202,22870.0,31.0,75118,2021
751187203,25720.0,31.0,75118,2021
751187204,24990.0,29.0,75118,2021
751187205,20940.0,33.0,75118,2021
751187206,18910.0,35.0,75118,2021
751187207,17990.0,37.0,75118,2021
751187208,14970.0,47.0,75118,2021
751187209,12860.0,54.0,75118,2021
751197301,22980.0,27.0,75119,2021
751197302,23880.0,28.0,75119,2021
751197303,24760.0,25.0,75119,2021
751197304,25780.0,24.0,75119,2021
