CODGEO,PMIMP,DECUC_Q2,DECUC_Q1,DECUC_Q3,BREV,DECUC_D1,DECUC_D9,DECUC_D1D9,DISP_Q2,DISP_Q1,DISP_Q3,TP60,DISP_D1,DISP_D9,DISP_D1D9,PACT,PPEN,PPSOC,PIMPOT,PPAT,NOTE_FILO,C,C_C2SNP,C_C2SP,NOTE_CNAM,A,APPA,ARSAS,AAAH,NOTE_CNAF,annee
62250,"39,5",18370,11430.0,25090.0,"29,5",5830.0,33020.0,"5,7",18980,14150.0,24380.0,"19,5",10830.0,30800.0,"2,8","70,5","29,1","9,1","-13,9","5,20000000000002",0,9527.0,1167.0,254.0,0.0,2310.0,840.0,429.0,182.0,0.0,2022
622506235162587,"35,4",16890,10160.0,23390.0,"34,5",4500.0,30340.0,"6,8",17800,13380.0,23100.0,"23,1",10420.0,28690.0,"2,8","67,9",30,"10,9",-13,"4,19999999999999",0,23520.0,3424.0,747.0,0.0,6048.0,2293.0,1171.0,534.0,0.0,2022
622766240162464,"40,5",19150,12970.0,25340.0,"25,1",7360.0,32310.0,"4,4",19560,14800.0,24630.0,"16,3",11460.0,30190.0,"2,6","76,1","26,5","7,8","-14,5","4,10000000000001",0,12629.0,1064.0,269.0,0.0,2801.0,1029.0,368.0,183.0,0.0,2022
6229162498,"32,7",14590,7270.0,21930.0,"44,6",820.0,30050.0,"36,4",16230,12010.0,21790.0,"31,2",9270.0,28200.0,3,"62,8","31,3","14,8","-13,6","4,7",0,33947.0,8929.0,1554.0,0.0,10638.0,3815.0,2781.0,1135.0,0.0,2022
62318,"33,3",16460,10990.0,22820.0,"32,9",5830.0,31110.0,"5,3",17440,13680.0,22670.0,"20,5",10830.0,29550.0,"2,7","63,9","31,9","9,8","-13,3","7,70000000000002",0,9516.0,919.0,283.0,0.0,2491.0,1075.0,375.0,306.0,0.0,2022
6238662528,"32,9",16030,9750.0,22620.0,"37,4",4170.0,29380.0,"7,1",17290,13060.0,22600.0,"24,9",10180.0,27960.0,"2,7","69,5","27,3","11,9","-12,7",4,0,12644.0,1986.0,432.0,0.0,3369.0,1344.0,691.0,341.0,0.0,2022
6240062457,"33,5",16690,10050.0,22980.0,"35,5",4840.0,30290.0,"6,3",17560,13200.0,22590.0,"24,1",10370.0,28680.0,"2,8","66,5","32,2","10,4","-13,3","4,19999999999999",0,11017.0,1489.0,384.0,0.0,2711.0,1107.0,503.0,238.0,0.0,2022
62413,"33,7",16230,9800.0,22890.0,"36,4",3320.0,29840.0,9,17380,12910.0,22780.0,"25,6",10030.0,28400.0,"2,8","67,6",30,"11,4","-12,5","3,49999999999999",0,11483.0,1845.0,432.0,0.0,2979.0,1157.0,668.0,260.0,0.0,2022
62427,"36,8",16870,9590.0,23990.0,"35,9",2940.0,32270.0,11,17950,13110.0,23560.0,"24,6",10020.0,30250.0,3,"70,6","27,5","11,5","-14,2","4,60000000000001",0,25082.0,4732.0,778.0,0.0,7049.0,2612.0,1692.0,645.0,0.0,2022
6242762587,36,16650,9470.0,23550.0,"36,4",3050.0,31420.0,"10,3",17750,13040.0,23250.0,25,10020.0,29440.0,"2,9","69,4","28,4","11,8","-13,8","4,20000000000002",0,33424.0,6208.0,1086.0,0.0,9325.0,3466.0,2172.0,891.0,0.0,2022
62498,32,14130,6860.0,21540.0,"46,4",660.0,29900.0,"45,6",15990,11840.0,21490.0,"32,4",9170.0,28090.0,"3,1",62,"31,4","15,5","-13,6","4,69999999999999",0,31314.0,8638.0,1485.0,0.0,10027.0,3582.0,2676.0,1063.0,0.0,2022
624986251062528,"32,3",14890,7760.0,22080.0,"43,4",1610.0,29810.0,"18,5",16450,12230.0,21940.0,30,9480.0,28070.0,3,"64,2","30,6","14,3","-13,2","4,09999999999999",0,65296.0,15172.0,2826.0,0.0,19733.0,7105.0,4978.0,2044.0,0.0,2022
624986252362842,"33,8",15490,8180.0,22520.0,"41,2",1740.0,30620.0,"17,6",16890,12480.0,22350.0,"28,5",9530.0,28710.0,3,"65,9","29,7","13,6","-13,5","4,3",0,44126.0,10200.0,1812.0,0.0,13074.0,4712.0,3219.0,1331.0,0.0,2022
62510,"30,9",14770,7890.0,21760.0,"43,7",1920.0,28770.0,15,16380,12240.0,21640.0,30,9600.0,27340.0,"2,8","64,4","30,4","14,6","-12,6","3,20000000000002",0,27596.0,5698.0,1163.0,0.0,8226.0,2977.0,2003.0,847.0,0.0,2022
62516,"35,2",17230,9620.0,23870.0,"35,1",2270.0,31510.0,"13,9",18100,13030.0,23580.0,"25,1",9940.0,30000.0,3,"66,6","29,4","11,4","-13,7","6,3",0,8789.0,1492.0,238.0,0.0,2424.0,907.0,528.0,237.0,0.0,2022
62560,"39,2",18270,12050.0,25210.0,"28,9",6730.0,32750.0,"4,9",18730,14240.0,24560.0,"18,7",10950.0,30720.0,"2,8","72,3",27,"7,9",-14,"6,8",0,4556.0,344.0,110.0,0.0,1043.0,418.0,139.0,68.0,0.0,2022
